Tasks,Machines,Johnsoon time,Johnson cmax,neh time,neh cmax,neh1 time,neh1 cmax,neh2 time,neh2 cmax,neh3 time,neh3 cmax,neh4 time,neh4 cmax
5,10,4.058440026710741e-05,139.8,0.00026540380058577285,132.8,0.0005617896000330802,133.8,0.0005967637996945995,133.8,0.0005696129992429633,133.8,0.0006568258002516813,133.8
10,10,8.807199992588721e-05,189.6,0.0014482975995633752,175.4,0.0032302498002536595,174.4,0.003533381001034286,174.4,0.0033178903999214527,174.4,0.004293115000473335,174.4
15,10,9.516679929220118e-05,229.2,0.004484223799227039,214.2,0.00941867120054667,212.6,0.009488395399966976,214.8,0.009645617400383343,215.0,0.013158725000539561,212.4
20,10,0.00012057260028086603,266.4,0.010220250200654845,247.0,0.021847638199687935,246.8,0.02169976499862969,246.6,0.021697667599801206,247.0,0.030413465198944323,247.2
50,10,0.00033301360017503614,554.2,0.15097332340083086,505.4,0.3112141387988231,503.2,0.30863357320049545,500.0,0.3099405607994413,500.6,0.4496467455996026,500.0
80,10,0.0006813449996116106,816.4,0.6127384415995039,759.6,1.2461635303996446,760.4,1.256632986600016,761.2,1.2489836884014949,759.2,1.8198348502002772,756.8
120,10,0.001264614599494962,1173.4,2.1814788042000144,1075.0,4.533811259601498,1077.2,4.377606448400184,1077.6,4.36133186159932,1076.4,6.45965381559945,1077.8
150,10,0.0017632889997912572,1416.8,4.112561125999491,1326.6,8.388758917600352,1326.0,8.361279263799952,1328.6,8.397558653999294,1328.6,12.389425390799442,1324.4
